Michelle Edwards,147007000,F,Faculty,60021.49,Instructor
Mary Gomez,503422648,F,Faculty,60026.15,Assistant Professor
Amy Johnson,791356459,F,Faculty,60103.39,Professor
Lindsey Nguyen,822102384,F,Faculty,60171.80,Assistant Professor
Amy Bailey,849487510,F,Faculty,60173.42,Instructor
Bradley Wood,036816340,M,Faculty,60238.52,Professor
Brian Diaz,345632352,M,Faculty,60246.29,Assistant Professor
Stephen Williams,232760028,M,Faculty,60260.55,Associate Professor
Zachary Adams,952986244,M,Faculty,60337.31,Assistant Professor
Jonathan Ward,801637134,M,Faculty,60365.81,Assistant Professor
Joshua Gutierrez,905826400,M,Faculty,60410.39,Associate Professor
Patrick Cox,312784127,M,Faculty,60463.20,Associate Professor
Laura Green,303287776,F,Faculty,60509.49,Instructor
Michael Sanchez,794007150,M,Faculty,60520.87,Associate Professor
Jennifer Rodriguez,196352388,F,Faculty,60591.16,Professor
Jonathan Brooks,618127462,M,Faculty,60605.82,Instructor
Sara Ortiz,364094372,F,Faculty,60608.91,Professor
Brandon Perez,569311392,M,Faculty,60609.90,Professor
Danielle Hall,004121981,F,Faculty,60693.26,Professor
Dustin Wright,103880893,M,Faculty,60695.73,Assistant Professor
Jamie Adams,680780825,F,Faculty,60726.51,Instructor
Jennifer Jones,071630629,F,Faculty,60788.17,Professor
Joshua Robinson,629847070,M,Faculty,60823.95,Assistant Professor
Joseph Myers,394032750,M,Faculty,60868.06,Instructor
Samantha King,009796647,F,Faculty,60900.98,Instructor
Thomas Cox,476676425,M,Faculty,60907.50,Instructor
Samantha Wilson,849016210,F,Faculty,60940.85,Professor
William Sanchez,933370903,M,Faculty,60944.90,Instructor
Rebecca Brooks,301760680,F,Faculty,60949.24,Assistant Professor
James Brooks,056626550,M,Faculty,61017.05,Associate Professor
Kenneth Kelly,931016891,M,Faculty,61031.48,Assistant Professor
Jamie Mendoza,726716594,M,Faculty,61045.46,Professor
Jesse Patel,458875101,F,Faculty,61090.87,Instructor
Lindsay Howard,224043524,F,Faculty,61125.26,Assistant Professor
Stephanie Ruiz,072533332,F,Faculty,61165.86,Associate Professor
Emily Morris,698361917,F,Faculty,61272.95,Assistant Professor
Kevin King,943878233,M,Faculty,61307.50,Professor
Matthew Chavez,648183321,M,Faculty,61400.91,Instructor
Nathan Phillips,324757483,M,Faculty,61418.59,Assistant Professor
Kevin Morales,929703193,M,Faculty,61419.43,Instructor
Jeremy Adams,951502630,M,Faculty,61468.75,Associate Professor
Matthew Martin,874002715,M,Faculty,61496.18,Associate Professor
John Gonzalez,274380020,M,Faculty,61510.93,Professor
Sarah Hall,291818760,F,Faculty,61518.67,Assistant Professor
Robert Jimenez,211676496,M,Faculty,61549.86,Assistant Professor
Michael Johnson,678893066,M,Faculty,61632.40,Professor
Christina White,969654406,F,Faculty,61824.84,Assistant Professor
Anthony Morgan,733291555,M,Faculty,61841.70,Assistant Professor
Anthony Diaz,632429490,M,Faculty,61866.19,Associate Professor
Samantha Phillips,081281768,F,Faculty,61867.04,Associate Professor
Shannon Green,385187001,F,Faculty,61875.74,Associate Professor
Anthony Ruiz,786769415,M,Faculty,61907.15,Associate Professor
Scott James,030598610,M,Faculty,61909.01,Instructor
Patrick Brown,275475838,M,Faculty,61912.50,Professor
Jason Jones,732453916,M,Faculty,61965.79,Assistant Professor
Mary Phillips,776913529,F,Faculty,61985.10,Professor
Aaron Chavez,447231872,M,Faculty,62046.97,Associate Professor
Kimberly Roberts,129631402,F,Faculty,62136.87,Professor
Jesse Myers,390841930,M,Faculty,62226.43,Assistant Professor
Nathan Martin,146905500,M,Faculty,62229.00,Assistant Professor
Christine Walker,614539598,F,Faculty,62298.06,Professor
Lindsay Morris,690080953,F,Faculty,62385.62,Assistant Professor
Vanessa Brooks,246667261,F,Faculty,62470.71,Associate Professor
Kristen Mitchell,785710379,F,Faculty,62521.75,Assistant Professor
Brittany Martin,841607077,F,Faculty,62528.94,Professor
Vanessa Stewart,090059096,F,Faculty,62587.68,Assistant Professor
Erin Baker,143122252,F,Faculty,62598.81,Instructor
Sarah Ramirez,224120953,F,Faculty,62686.76,Instructor
Sara King,216236136,F,Faculty,62688.32,Professor
Nathan Jackson,065546233,M,Faculty,62704.41,Associate Professor
Eric Green,809196016,M,Faculty,62705.24,Instructor
Rebecca Brooks,110410037,F,Faculty,62710.02,Assistant Professor
Gregory Foster,713704842,M,Faculty,62711.71,Instructor
