Bryan Chavez,113572634,M,Staff,38404.72,33
Samantha Hernandez,034951865,F,1.932,1
Steven Diaz,070592106,M,1.684,2
Melissa Kelly,765314007,F,0.765,3
Andrea Flores,544273640,F,2.265,4
Jamie Adams,932829215,M,3.12,1
Charles Ortiz,548775804,M,0.912,2
Dustin Alvarez,886306927,M,2.358,1
William Walker,838192928,M,Faculty,135135.17,Instructor
Jeffrey Hughes,427292668,M,1.172,4
Michael Ruiz,582765764,M,2.528,4
Sarah Sanders,742313894,F,0.138,2
Lisa Gonzalez,552200550,F,Staff,45970.85,22
Robert Lopez,817898354,M,0.226,1
Amanda Young,967289654,F,0.001,4
Alicia Scott,205890501,F,3.224,2
Richard Wilson,889667086,M,0.235,1
Katie Richardson,527836416,F,1.904,4
Ashley Price,915962757,F,1.882,2
Lauren Edwards,848057989,F,3.305,2
Allison Harris,673450037,F,4,3
Lisa Nguyen,896265147,F,1.379,2
Aaron Gray,693705723,M,0.66,2
Kimberly Morgan,095012331,F,1.682,1
Bradley Adams,487148183,M,1.274,1
Nicholas Wright,772023572,M,0.263,4
Robert Lewis,924126236,M,1.284,1
Kristen Peterson,907396412,F,4,2
Katherine Ramos,353407805,F,2.262,1
Timothy James,460386554,M,2.533,1
Amy Stewart,662967465,F,Staff,18547,10
Lindsay Peterson,037068148,F,2.624,1
Shannon Cruz,687610480,F,2.474,3
Jesse White,548510550,M,0.659,2
Allison Phillips,459324278,F,4,4
Jeffrey Cooper,891204380,M,Staff,24100.18,29
Bradley Wright,680113763,M,1.836,2
Jennifer Davis,868018367,F,Staff,18236.04,30
Jeremy Hill,667411756,M,2.233,4
Nicole Kim,147973884,F,0.286,2
Sara Foster,386570858,F,Staff,14163.86,40
Lindsey Bennett,440150604,F,0.224,4
Kimberly Ward,046133424,F,2.04,4
Alicia Cooper,786065249,F,Staff,21409.97,97
Michelle Jackson,380564709,F,4,4
Daniel Ortiz,773428097,M,0.951,3
Tiffany Gutierrez,830814918,F,4,2
Amber Scott,030854953,F,4,3
Amber Cox,397788792,F,4,4
Lisa Ortiz,554064696,F,3.347,4
Justin Rogers,073946014,M,0.721,1
Sarah Reyes,755733338,F,1.957,2
