Katie Gomez,057869620,F,Staff,21682.84,0
Allison Anderson,065643536,F,Staff,35699.59,0
Steven Martinez,066570148,M,Staff,13832.53,0
Nicholas Hall,092566975,M,Staff,36452.15,0
Michael Martinez,101661406,M,Staff,28402.65,0
Amanda Kim,103652051,F,Staff,21958.90,0
Jessica Phillips,117716367,F,Staff,23581.92,0
Eric Williams,127962697,M,Staff,45054.90,0
Travis Johnson,139999216,M,Staff,48209.69,0
Amber Parker,150089318,F,Staff,32330.50,0
Brittany Davis,176549742,F,Staff,48587.43,0
Amanda Ross,177502951,F,Staff,44407.33,0
Melissa Patel,215492612,F,Staff,17717.74,0
Rachel Sanders,221401809,F,Staff,41450.41,0
Emily Gonzalez,255934621,F,Staff,12771.38,0
Bryan King,264196641,M,Staff,33227.10,0
Allison Phillips,309149917,F,Staff,21581.09,0
Adam Morgan,315389687,M,Staff,35256.85,0
Jacob Taylor,316446522,M,Staff,42341.80,0
Mark Collins,316934670,M,Staff,38269.00,0
Alexander Cooper,321107566,M,Staff,32394.45,0
Jonathan Foster,365292310,M,Staff,47034.20,0
Sara Gomez,371289045,F,Staff,19845.85,0
Eric Kelly,371845328,M,Staff,48790.23,0
Tiffany Howard,372874346,F,Staff,23329.99,0
Aaron Lee,381021124,M,Staff,49637.41,0
Cody Jones,387965753,M,Staff,16365.30,0
Megan Lopez,400224976,F,Staff,38919.65,0
John Cox,430571254,M,Staff,29899.37,0
John Turner,434340661,M,Staff,33583.52,0
Samuel Castillo,437694125,M,Staff,39742.49,0
Travis Garcia,438097377,M,Staff,12591.49,0
Jason Gray,448257246,M,Staff,34085.62,0
Lindsey Phillips,462565502,F,Staff,25194.15,0
Allison Reed,474402921,F,Staff,22048.43,0
Rebecca Hughes,474572663,F,Staff,41357.48,0
Amy Bailey,482881613,F,Staff,29065.94,0
Alicia Wilson,484685310,F,Staff,15067.73,0
Heather Howard,494649324,F,Staff,42958.26,0
Courtney Williams,504006232,F,Staff,38818.23,0
Erica Sanchez,514519192,F,Staff,41120.94,0
Kelly Allen,514857149,F,Staff,28978.35,0
Jennifer Stewart,515904135,F,Staff,40636.84,0
Samantha Collins,523089157,F,Staff,18288.88,0
Jason Campbell,542145176,M,Staff,13813.92,0
David Cook,548088073,M,Staff,17208.49,0
Aaron Miller,549712880,M,Staff,42206.70,0
Emily Turner,557694897,F,Staff,27587.43,0
Amy Thomas,560790708,F,Staff,33240.71,0
Christine Brooks,564212910,F,Staff,14439.12,0
Rebecca Hall,567232042,F,Staff,32342.24,0
Sean Price,575806756,M,Staff,18896.17,0
Amber Bennett,579260936,F,Staff,23044.88,0
Kevin Perez,581549085,M,Staff,19442.39,0
Gregory Chavez,609010020,M,Staff,29529.59,0
Amber Wright,616472183,F,Staff,36036.25,0
Heather Moore,620756115,F,Staff,30296.98,0
Lindsay Hall,620972382,F,Staff,12363.71,0
Elizabeth Gonzalez,645251475,F,Staff,17532.78,0
Alicia Martin,653155218,F,Staff,47398.98,0
Jamie Gonzalez,661621137,F,Staff,15453.11,0
Vanessa Watson,663571218,F,Staff,44726.87,0
Vanessa Chavez,675407274,F,Staff,21092.70,0
Christopher Kelly,676540059,M,Staff,44534.07,0
Melissa Sanders,685039819,F,Staff,20430.30,0
Eric Mitchell,689632040,M,Staff,36397.29,0
Thomas Ruiz,699152668,M,Staff,40102.53,0
Justin Smith,705009924,M,Staff,17111.13,0
Kelly Howard,714008911,F,Staff,12408.91,0
Andrew Jackson,718318847,M,Staff,13437.96,0
Angela Morales,730766919,F,Staff,34631.16,0
