Michelle Parker,000001923,F,3.241,4
Amber Sanchez,000003092,F,3.951,4
Brian Morgan,000033379,M,3.337,1
Megan Davis,000047473,F,2.602,2
James Green,000071387,M,3.663,2
Crystal Evans,000073145,F,4.0,4
Andrea Smith,000098418,F,3.256,4
Danielle Ruiz,000102260,F,4.0,3
Sean Thomas,000119796,M,0.5,1
Cody Patel,000128491,M,2.218,2
Danielle Reyes,000169710,F,4.0,2
Kenneth Gonzalez,000195245,M,1.588,4
Eric Mendoza,000209945,M,3.856,1
Samantha Edwards,000237096,F,1.953,3
Michael Lopez,000278508,M,2.412,2
Joseph Long,000292044,M,3.034,4
Steven Hernandez,000324123,M,1.204,1
Samuel Wilson,000333847,M,1.045,1
Benjamin Murphy,000346766,M,1.655,3
Aaron Bailey,000351657,M,1.117,2
Courtney Hernandez,000355412,F,2.749,1
David Cooper,000362578,M,1.359,3
Steven Price,000363753,M,2.359,4
Samantha Alvarez,000367252,F,4.0,3
John Harris,000369042,M,2.863,1
Alicia Gomez,000373097,F,3.82,4
Allison Foster,000373403,F,2.122,2
Kevin Richardson,000391764,M,4.0,2
Lindsay Baker,000430997,F,3.256,3
Jessica Kelly,000435458,F,1.698,2
Christine Gray,000437232,F,1.006,1
Jesse Hernandez,000459764,F,1.798,1
Rebecca Reyes,000461412,F,2.276,4
Laura Martin,000472838,F,0.254,1
Steven Rivera,000476263,M,4.0,3
Michael Perez,000478215,M,0.99,3
Jesse Allen,000489728,F,2.892,4
Daniel Williams,000495130,M,4.0,2
Lindsay Wood,000495870,F,4.0,1
Zachary James,000496086,M,4.0,1
Daniel Cox,000526888,M,0.305,3
Amy Garcia,000541383,F,1.391,4
Nicole Murphy,000543347,F,1.387,4
Matthew Lewis,000556200,M,0.957,2
Vanessa Edwards,000565970,F,1.457,2
Sarah Green,000567133,F,2.888,2
Jeffrey Anderson,000618575,M,3.138,4
Courtney Kelly,000662656,F,0.992,2
Patrick Nguyen,000667882,M,3.733,4
Megan Ortiz,000689035,F,4.0,2
Shannon Perez,000692859,F,1.157,3
Stephen Murphy,000693203,M,0.601,3
Steven Reyes,000710028,M,2.945,1
Daniel Rodriguez,000713655,M,0.551,2
Jamie Gomez,000721354,M,0.914,3
Allison Gutierrez,000728930,F,4.0,2
Andrea Johnson,000768405,F,0.453,4
Adam Brown,000775992,M,0.892,1
Alexander Thompson,000779846,M,4.0,2
Matthew Clark,000784545,M,4.0,4
Erin Bailey,000786485,F,1.342,4
Ashley Diaz,000799712,F,2.962,3
Andrea Kim,000821560,F,1.678,2
Amanda Hughes,000827301,F,4.0,1
Amanda Gray,000831296,F,1.962,4
Nicholas White,000836022,M,1.539,4
Brandon Brooks,000852707,M,4.0,1
Jesse Edwards,000860002,F,3.971,1
Richard Taylor,000882285,M,3.015,1
Jeremy James,000885357,M,1.294,2
Dustin Smith,000891873,M,3.08,2
Kelly Wilson,000910740,F,3.861,1
Nicole King,000916071,F,1.336,2
Robert Scott,000922631,M,2.502,4
Justin Sanchez,000929642,M,0.799,2
Amanda Anderson,000973123,F,3.512,2
Jonathan Walker,000973810,M,1.035,1
Sarah Martinez,000981522,F,4.0,2
Ashley Long,000987976,F,4.0,4
Katie Murphy,000994296,F,1.036,2
Justin Moore,001017828,M,4.0,3
Allison Hall,001042347,F,3.667,2
Jessica Rogers,001078758,F,2.04,3
Adam Thompson,001099795,M,2.748,4
Charles Jimenez,001108866,M,3.335,3
Kimberly Diaz,001110784,F,4.0,4
Sara Castillo,001112250,F,3.158,1
Charles Moore,001114483,M,2.536,2
Amy Alvarez,001117986,F,0.255,2
Heather Williams,001118569,F,0.879,3
Kyle Phillips,001124120,M,0.926,4
Robert Morgan,001132175,M,2.314,2
Lindsey Morgan,001140070,F,1.468,2
Christopher Allen,001164938,M,4.0,4
Andrea Davis,001177031,F,4.0,1
Ryan Gomez,001189137,M,1.181,4
Ryan Watson,001193684,M,2.571,3
Cody Sanders,001201262,M,4.0,3
Lauren Green,001219026,F,4.0,1
Emily Richardson,001235792,F,3.239,4
Jessica Lewis,001236644,F,4.0,4
Amy Reed,001255002,F,3.505,3
Daniel Lopez,001259663,M,0.984,2
